E. coli Average abundance,S. cerevisiae Average abundance,Diffusion coefficient,S. cerevisiae initial average abundance,"Group (1 is the wild group, 2 is the btuB knockout group, 3 is the fhuA knockout group)",summary_distance,"TonB (0 is the wild group, 1 is the TonB upregulation group)"
0.588971902,0.411028098,0.1,0.5541,1,0.75,0
0.633022021,0.366977979,0.1,0.5093,3,0.416666667,0
0.647272848,0.352727152,0.15,0.4703,1,0.777777778,0
0.580892247,0.419107753,0.2,0.5553,2,0.727272727,0
0.669090632,0.330909368,0.2,0.4869,2,0.454545455,0
0.616972575,0.383027425,0.15,0.4921,1,0.666666667,0
0.691785394,0.308214606,0.15,0.426,2,0.5,0
0.625702176,0.374297824,0.2,0.5512,2,0.625,0
0.617939095,0.382060905,0.15,0.5096,1,1.25,0
0.646216617,0.353783383,0.1,0.5312,2,0.833333333,0
0.629720816,0.370279184,0.2,0.569,3,0.9,0
0.61373807,0.38626193,0.15,0.5116,3,0.909090909,0
0.649726972,0.350273028,0.2,0.4804,1,0.545454545,0
0.608489724,0.391510276,0.2,0.557,1,0.3,0
0.54572118,0.45427882,0.1,0.6295,1,1,0
0.644745436,0.355254564,0.1,0.449,3,0.555555556,0
0.630807219,0.369192781,0.1,0.5564,2,0.555555556,0
0.611138321,0.388861679,0.2,0.5191,2,0.625,0
0.573970327,0.426029673,0.2,0.5183,3,1.3,0
0.594443739,0.405556261,0.15,0.4366,2,0.875,0
0.576761706,0.423238294,0.15,0.5975,1,0.916666667,0
0.577844907,0.422155093,0.1,0.5107,2,0.583333333,0
0.600638445,0.399361555,0.2,0.5301,1,1.428571429,0
0.63487392,0.36512608,0.1,0.5088,3,0.857142857,0
0.601854929,0.398145071,0.2,0.5118,3,0.5,0
0.590501992,0.409498008,0.15,0.5177,3,0.75,0
0.604883884,0.395116116,0.1,0.5255,3,0.4,0
0.615544705,0.384455295,0.15,0.5502,2,0.571428571,0
0.621495609,0.378504391,0.15,0.4368,3,1.333333333,0
0.620660826,0.379339174,0.2,0.5699,3,0.5,0
0.642386741,0.357613259,0.15,0.4822,3,0.5,0
0.623827673,0.376172327,0.2,0.5302,1,1.1,0
0.703254896,0.296745104,0.1,0.427,1,0.6,0
0.630057151,0.369942849,0.1,0.5114,1,0.777777778,0
0.641851817,0.358148183,0.2,0.4477,1,0.857142857,1
0.647005837,0.352994163,0.15,0.4901,1,0.5,1
0.640030047,0.359969953,0.2,0.462811748,3,0.666666667,1
0.608155209,0.391844791,0.1,0.5175,2,0.75,1
0.636490274,0.363509726,0.15,0.4672,2,0.555555556,1
0.645691683,0.354308317,0.1,0.5794,2,0.571428571,1
0.638478605,0.361521395,0.2,0.5259,3,0.555555556,1
0.604658661,0.395341339,0.2,0.507870231,2,0.363636364,1
0.67422905,0.32577095,0.15,0.432879385,1,0.375,1
0.704165512,0.295834488,0.1,0.4447,3,0.666666667,1
0.554838589,0.445161411,0.15,0.568942239,3,1.916666667,1
0.587030305,0.412969695,0.15,0.5179,3,0.583333333,1
0.622176131,0.377823869,0.2,0.459866862,3,0.3,1
0.61377923,0.38622077,0.1,0.5939,1,1.333333333,1
0.648607171,0.351392829,0.1,0.518075554,1,2,1
0.669512895,0.330487105,0.1,0.512021897,1,0.428571429,1
0.60104146,0.39895854,0.2,0.5415,2,0.416666667,1
0.669317772,0.330682228,0.1,0.505210932,2,0.857142857,1
0.605250727,0.394749273,0.1,0.5273,2,0.846153846,0
0.607014629,0.392985371,0.15,0.4953,2,0.714285714,0
0.662759048,0.337240952,0.2,0.4463,2,0.375,0
0.656538017,0.343461983,0.2,0.4611,3,0.375,0
0.633401118,0.366598882,0.15,0.4655,3,0.636363636,0
0.610423676,0.389576324,0.2,0.5243,1,0.454545455,0
0.619567396,0.380432604,0.15,0.5087,1,0.8,0
0.609129395,0.390870605,0.15,0.5456,2,0.416666667,0
0.627176294,0.372823706,0.1,0.5425,2,0.272727273,0
0.625365721,0.374634279,0.1,0.5076,1,0.5,0
0.653345343,0.346654657,0.15,0.497340037,1,0.555555556,1
0.633165841,0.366834159,0.2,0.520354641,1,0.444444444,1
0.631538689,0.368461311,0.1,0.537203548,3,0.714285714,1
0.648584517,0.351415483,0.2,0.465386339,2,0.75,1
0.614704574,0.385295426,0.1,0.5265,3,2.25,0
0.603419018,0.396580982,0.15,0.4987,2,0.5,1
0.647966122,0.352033878,0.1,0.473417613,3,1,1
0.59572718,0.40427282,0.2,0.539503795,1,0.8,1
0.646885599,0.353114401,0.15,0.425227569,2,0.428571429,1
0.677637068,0.322362932,0.1,0.409619102,1,0.777777778,0
0.63657348,0.36342652,0.15,0.525078887,1,0.7,0
0.621774732,0.378225268,0.2,0.457635489,2,1.818181818,0
0.600340912,0.399659088,0.1,0.579299868,2,0.416666667,0
0.631666208,0.368333792,0.2,0.46379399,3,0.333333333,0
0.712556267,0.287443733,0.15,0.430466697,3,0.5,0
0.672460409,0.327539591,0.15,0.443949434,3,1.285714286,1
